expression,reading,meaning,tags
素晴らしい,すばらしい,wonderful; terrific,Intermediate_Japanese_Ln.4 JLPT JLPT_N4
美術館,びじゅつかん,"art gallery, art museum",Genki Genki_Ln.11 JLPT JLPT_N4
文法,ぶんぽう,grammar,Genki Genki_Ln.13 JLPT JLPT_N4
終わり,おわり,end,JLPT JLPT_N4
壁,かべ,wall,JLPT JLPT_N4
一度,いちど,"once, one time",JLPT JLPT_N4
お礼,おれい,expression of gratitude; thanking; gift of appreciation; bow,Genki Genki_Ln.19 Intermediate_Japanese_Ln.9 JLPT JLPT_N4
親切,しんせつ,kindness,JLPT JLPT_N4
知らせる,しらせる,to notify,JLPT JLPT_N4
歯医者,はいしゃ,dentist,JLPT JLPT_N4
熱心,ねっしん,enthusiasm,JLPT JLPT_N4
始める,はじめる,"to start, to begin",Genki Genki_Ln.8 JLPT JLPT_N4
もらう,もらう,to receive,JLPT JLPT_N4
泣く,なく,to cry,Genki Genki_Ln.13 JLPT JLPT_N4
治る,なおる,to get better; to recover from illness (v.i.),JLPT JLPT_N4
熱,ねつ,"fever, temperature",Intermediate_Japanese_Ln.3 JLPT JLPT_N4
お祭り,おまつり,festival,JLPT JLPT_N4
水道,すいどう,"water service, water line",JLPT JLPT_N4
匂い,におい,"odor, smell",JLPT JLPT_N4
ベル,ベル,bell,JLPT JLPT_N4
赤ん坊,あかんぼう,baby,JLPT JLPT_N4
おかしい,おかしい,strange; odd; funny,Intermediate_Japanese_Ln.2 JLPT JLPT_N4
事故,じこ,accident,JLPT JLPT_N4
変,へん,"strange, odd",JLPT JLPT_N4
辞典,じてん,"encyclopedia, reference book",JLPT JLPT_N4
残る,のこる,"to remain (v.i.), to be left",JLPT JLPT_N4
立てる,たてる,"to stand (something) up, to erect (something)",JLPT JLPT_N4
くれる,くれる,"to give, to do for",JLPT JLPT_N4
～員,～いん,member of ~,JLPT JLPT_N4
原因,げんいん,"cause, origin, source",JLPT JLPT_N4
驚く,おどろく,"to be surprised, to be astonished",Intermediate_Japanese_Ln.8 JLPT JLPT_N4
いただく,頂く,-- extra-modest expression for たべる and のむ; humble expression for もらう --,Genki Genki_Ln.20 JLPT JLPT_N4
祖母,そぼ,grandmother,JLPT JLPT_N4
場所,ばしょ,"place, location",Genki Genki_Ln.23 Intermediate_Japanese_Ln.5 JLPT JLPT_N4
答,こたえ,"answer, response",JLPT JLPT_N4
もちろん,もちろん,"certainly, of course",Genki Genki_Ln.7 Intermediate_Japanese_Ln.5 JLPT JLPT_N4
漬ける,つける,"to soak, to moisten, to pickle",JLPT JLPT_N4
受付,うけつけ,reception(ist) desk,Genki Genki_Ln.22 Intermediate_Japanese_Ln.8 JLPT JLPT_N4
内,うち,"within, inside",JLPT JLPT_N4
スクリーン,スクリーン,screen,JLPT JLPT_N4
増える,ふえる,"to increase, to multiply",JLPT JLPT_N4
または,または,"or, otherwise",JLPT JLPT_N4
けがする,けがする,"injury (to animate object), hurt",JLPT JLPT_N4
以下,いか,"less than, below",JLPT JLPT_N4
選ぶ,えらぶ,to choose; to select,Genki Genki_Ln.17 Intermediate_Japanese_Ln.3 JLPT JLPT_N4
～ばかり,～ばかり,"just did ~, only",JLPT JLPT_N4
心,こころ,"heart, mind",JLPT JLPT_N4
～だす,～だす,to start doing ~,JLPT JLPT_N4
サラダ,サラダ,salad,JLPT JLPT_N4
届ける,とどける,to deliver (v.t.),Intermediate_Japanese_Ln.9 JLPT JLPT_N4
あいさつする,挨拶,greet(ing),JLPT JLPT_N4
景色,けしき,"scenery, landscape",JLPT JLPT_N4
確か,たしか,"if I remember correctly; certain, definite",Intermediate_Japanese_Ln.4 JLPT JLPT_N4
ステーキ,ステーキ,steak,JLPT JLPT_N4
食料品,しょくりょうひん,"foodstuff, groceries",JLPT JLPT_N4
森,もり,forest,JLPT JLPT_N4
以内,いない,"within, less (no more) than",JLPT JLPT_N4
予定,よてい,"plans, arrangement, schedule",Genki Genki_Ln.15 Intermediate_Japanese_Ln.15 JLPT JLPT_N4
オーバー,オーバー,"overcoat; over, exceeding, exaggeration",JLPT JLPT_N4
乾く,かわく,to get dry,JLPT JLPT_N4
石,いし,stone,JLPT JLPT_N4
思い出す,おもいだす,"to recall, to remember",Intermediate_Japanese_Ln.8 JLPT JLPT_N4
踊る,おどる,to dance,Genki Genki_Ln.9 JLPT JLPT_N4
細かい,こまかい,"small; fine, minute",JLPT JLPT_N4
塗る,ぬる,"to paint, to plaster",JLPT JLPT_N4
ご主人,ごしゅじん,"(your, her) husband",Genki Genki_Ln.14 JLPT JLPT_N4
珍しい,めずらしい,"unusual, rare",Intermediate_Japanese_Ln.4 JLPT JLPT_N4
用,よう,"errand, task, business (to take care of)",Intermediate_Japanese_Ln.9 JLPT JLPT_N4
公務員,こうむいん,"government worker, public servant",JLPT JLPT_N4
お嬢さん,おじょうさん,(someone's) daughter (polite),Genki Genki_Ln.22 JLPT JLPT_N4
用意,ようい,preparation,JLPT JLPT_N4
探す,さがす,"to search, to seek, to look for",Genki Genki_Ln.15 Intermediate_Japanese_Ln.8 JLPT JLPT_N4
形,かたち,shape,JLPT JLPT_N4
運転,うんてんする,driving,JLPT JLPT_N4
すっかり,すっかり,"all, completely",JLPT JLPT_N4
アナウンサー,アナウンサー,announcer,JLPT JLPT_N4
お土産,おみやげ,souvenir,Genki Genki_Ln.4 JLPT JLPT_N4
消しゴム,けしゴム,eraser,JLPT JLPT_N4
旅館,りょかん,a Japanese inn,Genki Genki_Ln.15 Intermediate_Japanese_Ln.6 JLPT JLPT_N4
海岸,かいがん,"coast, seashore",JLPT JLPT_N4
寂しい,さびしい,"lonely, lonesome",Genki Genki_Ln.9 JLPT JLPT_N4
火,ひ,fire,JLPT JLPT_N4
育てる,そだてる,to raise (v.t.); to bring up,Genki Genki_Ln.22 JLPT JLPT_N4
味噌,みそ,"miso, bean paste",JLPT JLPT_N4
お祝い,おいわい,"congratulation, celebration",Intermediate_Japanese_Ln.7 JLPT JLPT_N4
乗り物,のりもの,vehicle,JLPT JLPT_N4
案内,あんないする,"information, guidance",JLPT JLPT_N4
通う,かよう,to go back and forth; to commute,JLPT JLPT_N4
連れる,つれる,"to lead, to take (a person)",JLPT JLPT_N4
技術,ぎじゅつ,"technique, technology, skill",JLPT JLPT_N4
小鳥,ことり,small bird,JLPT JLPT_N4
下宿,げしゅく,"lodging, boarding house",JLPT JLPT_N4
ジャム,ジャム,jam,JLPT JLPT_N4
招待,しょうたいする,invitation,JLPT JLPT_N4
鏡,かがみ,mirror,JLPT JLPT_N4
はず,はず,it should be so,JLPT JLPT_N4
法律,ほうりつ,law,JLPT JLPT_N4
進む,すすむ,"to advance, to proceed",JLPT JLPT_N4
楽む,たのしむ,to enjoy,JLPT JLPT_N4
貿易,ぼうえき,trade,JLPT JLPT_N4
反対,はんたい,"oppose, opposition, resistance",JLPT JLPT_N4
おる,おる,-- extra-modest expression for いる --,Genki Genki_Ln.20 JLPT JLPT_N4
申す,もうす,-- extra-modest (humble) expression for 言う (いう) --,Genki Genki_Ln.20 JLPT JLPT_N4
試験,しけん,an exam,Genki Genki_Ln.9 JLPT JLPT_N4
真面目,まじめ,"diligent, serious",JLPT JLPT_N4
ごらんになる,,-- honorific expression for みる --,Genki Genki_Ln.19 JLPT JLPT_N4
店員,てんいん,clerk; shop-employee,Intermediate_Japanese_Ln.6 JLPT JLPT_N4
泊まる,とまる,to stay (over night) (v.i.),JLPT JLPT_N4
よろしい,よろしい,"(hon.) good, OK, all right",JLPT JLPT_N4
今夜,こんや,"this evening, tonight",JLPT JLPT_N4
おつり,おつり,change; balance of money returned to the purchaser,JLPT JLPT_N4
チェックする,チェックする,check,JLPT JLPT_N4
会話,かいわ,conversation,JLPT JLPT_N4
空気,くうき,"air, atmosphere",Genki Genki_Ln.8 JLPT JLPT_N4
交通,こうつう,"traffic, transportation",JLPT JLPT_N4
ワープロ,ワープロ,word processor,JLPT JLPT_N4
喜ぶ,よろこぶ,"to rejoice, to be delighted, to be glad",JLPT JLPT_N4
急行,きゅうこう,express train or bus,Intermediate_Japanese_Ln.7 JLPT JLPT_N4
皆,みな,everyone,JLPT JLPT_N4
味,あじ,"flavor, taste",JLPT JLPT_N4
空港,くうこう,airport,Genki Genki_Ln.20 JLPT JLPT_N4
手袋,てぶくろ,glove(s),Genki Genki_Ln.10 JLPT JLPT_N4
校長,こうちょう,"principal, headmaster",JLPT JLPT_N4
ごちそう,ごちそう,"feast, treating (someone)",JLPT JLPT_N4
踊り,おどり,dance,JLPT JLPT_N4
興味,きょうみ,interest (in something),JLPT JLPT_N4
引っ越す,ひっこす,to move to a new place of residence,JLPT JLPT_N4
冷房,れいぼう,"cooling, air conditioning",JLPT JLPT_N4
都合,つごう,"circumstances, convenience",JLPT JLPT_N4
遠慮,えんりょする,"restraint, reserve, hesitate",JLPT JLPT_N4
亡くなる,なくなる,to pass away,JLPT JLPT_N4
科学,かがく,science,Genki Genki_Ln.1 JLPT JLPT_N4
はっきり,はっきり,"clearly, distinctly",JLPT JLPT_N4
差し上げる,さしあげる,-- humble expression for あげる --,Genki Genki_Ln.20 JLPT JLPT_N4
気持ち,きもち,"feeling, sensation, mood",JLPT JLPT_N4
祖父,そふ,grandfather,JLPT JLPT_N4
港,みなと,"harbor, port",JLPT JLPT_N4
予約,よやく,reservation,Genki Genki_Ln.10 JLPT JLPT_N4
凄い,すごい,"terrific, great",JLPT JLPT_N4
入学,にゅうがくする,entry to school or university,JLPT JLPT_N4
片付ける,かたづける,"to (clean) tidy up (v.t.), to put away",JLPT JLPT_N4
写す,うつす,to copy (v.t.); to photograph,JLPT JLPT_N4
パソコン,パソコン,(personal) computer,JLPT JLPT_N4
部長,ぶちょう,department (division) manager,Genki Genki_Ln.19 Intermediate_Japanese_Ln.15 JLPT JLPT_N4
火事,かじ,fire,JLPT JLPT_N4
足す,たす,to add (numbers),JLPT JLPT_N4
教会,きょうかい,church,Intermediate_Japanese_Ln.9 JLPT JLPT_N4
彼ら,かれら,they (usually male),JLPT JLPT_N4
いっぱい,一杯,"full, to the utmost",JLPT JLPT_N4
アメリカ,アメリカ,"America, U.S.A.",Genki Genki_Ln.1 Genki_Ln.2 JLPT JLPT_N4
男性,だんせい,man; male,JLPT JLPT_N4
理由,りゆう,reason,JLPT JLPT_N4
生産,せいさんする,production; to produce,JLPT JLPT_N4
着物,きもの,kimono; Japanese traditional dress,Genki Genki_Ln.13 JLPT JLPT_N4
おもちゃ,おもちゃ,a toy,Genki Genki_Ln.11 JLPT JLPT_N4
暮れる,くれる,"to get dark, to come to an end",JLPT JLPT_N4
釣る,つる,to fish,JLPT JLPT_N4
～ちゃん,～ちゃん,suffix for familiar (female) person,JLPT JLPT_N4
打つ,うつ,"to hit, to strike",JLPT JLPT_N4
あんな,あんな,"such, like that",JLPT JLPT_N4
謝る,あやまる,to apologize,JLPT JLPT_N4
昼間,ひるま,"daytime, during the day",JLPT JLPT_N4
教育,きょういく,education,JLPT JLPT_N4
女性,じょせい,woman,JLPT JLPT_N4
米,こめ,uncooked rice,JLPT JLPT_N4
邪魔,じゃま,"hindrance, intrusion",JLPT JLPT_N4
国際,こくさい,international,JLPT JLPT_N4
隅,すみ,corner,JLPT JLPT_N4
伺う,うかがう,"humble form of 行く (いく), 聞く (きく) and 来る (くる)",JLPT JLPT_N4
再来週,さらいしゅう,the week after next,JLPT JLPT_N4
夢,ゆめ,a dream,Genki Genki_Ln.11 JLPT JLPT_N4
喉,のど,throat,JLPT JLPT_N4
最近,さいきん,"recently, nowadays, in recent years, most recent, latest",Genki Genki_Ln.15 Intermediate_Japanese_Ln.9 JLPT JLPT_N4
周り,まわり,surroundings,JLPT JLPT_N4
歴史,れきし,history,Genki Genki_Ln.1 Genki_Ln.2 Intermediate_Japanese_Ln.3 JLPT JLPT_N4
不便,ふべん,inconvenience,JLPT JLPT_N4
血,ち,blood,JLPT JLPT_N4
～続ける,～つづける,to continue doing ~,JLPT JLPT_N4
毛,け,"hair, fur",JLPT JLPT_N4
ひどい,ひどい,"terrible, awful, unfair, cruel",Genki Genki_Ln.21 Intermediate_Japanese_Ln.4 JLPT JLPT_N4
例えば,たとえば,"for example, e.g.",Genki Genki_Ln.17 Intermediate_Japanese_Ln.2 JLPT JLPT_N4
中々,なかなか,"very, considerably, quite",JLPT JLPT_N4
随分,ずいぶん,extremely,JLPT JLPT_N4
～やすい,～やすい,easy to do ~,JLPT JLPT_N4
押し入れ,おしいれ,closet,JLPT JLPT_N4
電灯,でんとう,electric light,JLPT JLPT_N4
叱る,しかる,to scold,JLPT JLPT_N4
サンダル,サンダル,sandal,JLPT JLPT_N4
びっくりする,びっくりする,to be surprised,Genki Genki_Ln.21 JLPT JLPT_N4
うまい,うまい,delicious; skillful; fortunate,JLPT JLPT_N4
変える,かえる,"to change, to alter, to vary",JLPT JLPT_N4
講堂,こうどう,auditorium,JLPT JLPT_N4
子,こ,child,JLPT JLPT_N4
沸かす,わかす,to boil,JLPT JLPT_N4
レジ,レジ,register,JLPT JLPT_N4
しばらく,しばらく,little while,JLPT JLPT_N4
特に,とくに,particularly,Intermediate_Japanese_Ln.3 JLPT JLPT_N4
空く,あく,"to open, to become empty (vacant)",JLPT JLPT_N4
計画,けいかくする,"plan, project, schedule",JLPT JLPT_N4
通り,とおり,"~ Street, ~ Avenue",JLPT JLPT_N4
下着,したぎ,underwear,JLPT JLPT_N4
経済,けいざい,"economics, finance, economy",JLPT JLPT_N4
こう,こう,"like this, this way",JLPT JLPT_N4
是非,ぜひ,"certainly, by all means; without fail",Genki Genki_Ln.9 Intermediate_Japanese_Ln.15 Intermediate_Japanese_Ln.8 JLPT JLPT_N4
裏,うら,"reverse side, back",JLPT JLPT_N4
為,ため,"good, advantage, in order to",JLPT JLPT_N4
おいでになる,おいでになる,(hon.) to be,JLPT JLPT_N4
変わる,かわる,"to change (v.i.), to be transformed, to vary",Intermediate_Japanese_Ln.4 JLPT JLPT_N4
以外,いがい,"other than, with the exception of, excepting",Intermediate_Japanese_Ln.3 JLPT JLPT_N4
済む,すむ,"to finish, to end",JLPT JLPT_N4
ハンバーグ,ハンバーグ,hamburger steak,JLPT JLPT_N4
市,し,city,JLPT JLPT_N4
引き出し,ひきだし,drawer,JLPT JLPT_N4
遊び,あそび,play,JLPT JLPT_N4
支度,したくする,preparation,JLPT JLPT_N4
～始める,～はじめる,to start doing ~,JLPT JLPT_N4
見える,みえる,to be visible; -- polite verb meaning 来る (くる) --,Genki Genki_Ln.15 JLPT JLPT_N4
十分,じゅうぶん,enough,JLPT JLPT_N4
音,おと,"sound, note",Genki Genki_Ln.20 JLPT JLPT_N4
きっと,きっと,"surely, definitely, undoubtedly, certainly",Intermediate_Japanese_Ln.7 JLPT JLPT_N4
まず,まず,"first (of all), to start with",Genki Genki_Ln.18 JLPT JLPT_N4
遠く,とおく,"far away, distant",JLPT JLPT_N4
大体,だいたい,approximately; in most cases; in general; to begin with (same as もともと),Intermediate_Japanese_Ln.15 Intermediate_Japanese_Ln.3 JLPT JLPT_N4
折れる,おれる,"to break, to be folded, to give in; to turn (a corner)",JLPT JLPT_N4
正しい,ただしい,correct,JLPT JLPT_N4
輸入,ゆにゅう,import,JLPT JLPT_N4
返事,へんじ,"reply, answer",JLPT JLPT_N4
都,と,metropolitan,JLPT JLPT_N4
産業,さんぎょう,industry,JLPT JLPT_N4
伝える,つたえる,"to convey (a message); to tell, to report",Genki Genki_Ln.20 Intermediate_Japanese_Ln.15 JLPT JLPT_N4
お金持ち,かねもち; おかねもち,rich person,JLPT JLPT_N4
説明,せつめい,explanation,JLPT JLPT_N4
島,しま,island,Intermediate_Japanese_Ln.5 JLPT JLPT_N4
道具,どうぐ,tool,JLPT JLPT_N4
滑る,すべる,"to slide, to slip",JLPT JLPT_N4
それほど,それほど,to that degree; extent,JLPT JLPT_N4
以上,いじょう,more than; this is all,JLPT JLPT_N4
～まま,～まま,as it is,JLPT JLPT_N4
特急,とっきゅう,limited express (train faster than an express),JLPT JLPT_N4
プレゼント,プレゼント,"present, gift",Genki Genki_Ln.12 JLPT JLPT_N4
～(に) よると,～(に) よると,according to ~,JLPT JLPT_N4
妻,つま,wife (humble),JLPT JLPT_N4
帰り,かえり,"return, coming back",JLPT JLPT_N4
具合,ぐあい,"condition, state, health",JLPT JLPT_N4
堅; 硬; 固い,かたい,"solid, hard, firm",JLPT JLPT_N4
駐車場,ちゅうしゃじょう,parking lot,JLPT JLPT_N4
スーツ,スーツ,suit,JLPT JLPT_N4
危険,きけん,"danger, risk, hazard",Intermediate_Japanese_Ln.15 JLPT JLPT_N4
髪,かみ,hair,Genki Genki_Ln.7 JLPT JLPT_N4
天気予報,てんきよほう,weather forecast,Genki Genki_Ln.8 JLPT JLPT_N4
彼女,かのじょ,girlfriend; she,Genki Genki_Ln.12 JLPT JLPT_N4
間,あいだ,"space, interval",JLPT JLPT_N4
卒業,そつぎょう,graduation,JLPT JLPT_N4
それで,それで,"and (conj.), thereupon, because of that",JLPT JLPT_N4
枝,えだ,"branch, twig",JLPT JLPT_N4
専門,せんもん,major; speciality,Genki Genki_Ln.1 JLPT JLPT_N4
そろそろ,そろそろ,"gradually, soon",JLPT JLPT_N4
送る,おくる,"to send, to dispatch",Genki Genki_Ln.14 Intermediate_Japanese_Ln.3 JLPT JLPT_N4
あげる,あげる,to give,JLPT JLPT_N4
騒ぐ,さわぐ,"to make noise, to clamor",JLPT JLPT_N4
尋ねる,たずねる,to inquire (same as 質問する),JLPT JLPT_N4
放送,ほうそうする,broadcasting,JLPT JLPT_N4
政治,せいじ,politics,Genki Genki_Ln.1 Genki_Ln.12 Intermediate_Japanese_Ln.3 JLPT JLPT_N4
市民,しみん,citizen,JLPT JLPT_N4
ファックス,ファックス,fax,JLPT JLPT_N4
負ける,まける,"to lose (a game) (v.i.), to be defeated",Intermediate_Japanese_Ln.7 JLPT JLPT_N4
指輪,ゆびわ,(finger) ring,Genki Genki_Ln.14 JLPT JLPT_N4
田舎,いなか,"rural, countryside",JLPT JLPT_N4
見つける,みつける,"to discover, to find (v.t.)",Genki Genki_Ln.21 JLPT JLPT_N4
高校生,こうこうせい,high school student,Genki Genki_Ln.1 JLPT JLPT_N4
講義,こうぎ,a lecture,Intermediate_Japanese_Ln.5 JLPT JLPT_N4
そんなに,そんなに,"so much, like that",JLPT JLPT_N4
昼休み,ひるやすみ,"lunch break, noon recess",JLPT JLPT_N4
忘れ物,わすれもの,"lost article, something forgotten",JLPT JLPT_N4
下りる,おりる,"to get down, to go; come down",JLPT JLPT_N4
腕,うで,arm (in reference to body),Intermediate_Japanese_Ln.7 JLPT JLPT_N4
訳,わけ,reason; explanation,JLPT JLPT_N4
承知,しょうちする,"consent, acceptance",JLPT JLPT_N4
日記,にっき,"diary, journal",Genki Genki_Ln.18 JLPT JLPT_N4
高校; 高等学校,こうこう; こうとうがっこう,high school; senior high school,JLPT JLPT_N4
似る,にる,"to resemble, to be similar",JLPT JLPT_N4
～おわる,～おわる,to finish doing ~,JLPT JLPT_N4
暖房,だんぼう,heating,JLPT JLPT_N4
留守,るす,absence; not at home,Genki Genki_Ln.21 JLPT JLPT_N4
割合,わりあい,"rate, ratio, percentage",JLPT JLPT_N4
寺,てら,Buddhist temple,JLPT JLPT_N4
慣れる,なれる,to grow accustomed to,JLPT JLPT_N4
普通,ふつう,common; usual,Intermediate_Japanese_Ln.2 Intermediate_Japanese_Ln.3 JLPT JLPT_N4
手伝う,てつだう,to help,JLPT JLPT_N4
なるほど,なるほど,I see; I now understand,Intermediate_Japanese_Ln.6 JLPT JLPT_N4
くださる,くださる,"(hon.) to give, to confer",JLPT JLPT_N4
息子,むすこ,(humble) son,JLPT JLPT_N4
お子さん,おこさん,(someone else's) child (polite),Genki Genki_Ln.19 JLPT JLPT_N4
会場,かいじょう,"venue, meeting place",JLPT JLPT_N4
笑う,わらう,"to laugh, to smile",JLPT JLPT_N4
運ぶ,はこぶ,"to transport, to carry",Genki Genki_Ln.22 Intermediate_Japanese_Ln.6 JLPT JLPT_N4
文学,ぶんがく,literature,Genki Genki_Ln.1 Intermediate_Japanese_Ln.3 JLPT JLPT_N4
光,ひかり,light,JLPT JLPT_N4
お見舞い,おみまい,"calling on someone who is ill, visit",JLPT JLPT_N4
席,せき,a seat,Intermediate_Japanese_Ln.7 JLPT JLPT_N4
～様,～さま,"Mr., Mrs., Ms.",JLPT JLPT_N4
ご存じ,ごぞんじ,"knowing, acquaintance",JLPT JLPT_N4
下る,さがる,"to descend, to drop, to fall",JLPT JLPT_N4
字,じ,letter; character,Genki Genki_Ln.20 JLPT JLPT_N4
アジア,アジア,Asia,JLPT JLPT_N4
褒める,ほめる,to praise; to say nice things,Genki Genki_Ln.21 JLPT JLPT_N4
空く,すく,"to be empty (in reference to people), to be less crowded",JLPT JLPT_N4
あ,あ,Ah,JLPT JLPT_N4
最も,もっとも,most,JLPT JLPT_N4
合う,あう,"to fit, to match",JLPT JLPT_N4
～代,～だい,~ age; period,JLPT JLPT_N4
最後,さいご,"last, end",JLPT JLPT_N4
値段,ねだん,price,JLPT JLPT_N4
退院,たいいんする,leaving hospital,JLPT JLPT_N4
展覧会,てんらんかい,exhibition,JLPT JLPT_N4
久しぶり,ひさしぶり,it has been a long time; for the first time in a long time,Genki Genki_Ln.11 Intermediate_Japanese_Ln.4 JLPT JLPT_N4
カーテン,カーテン,curtain,Genki Genki_Ln.18 JLPT JLPT_N4
汽車,きしゃ,train (steam),JLPT JLPT_N4
遅れる,おくれる,to (be) become late,Genki Genki_Ln.19 Intermediate_Japanese_Ln.2 JLPT JLPT_N4
見つかる,みつかる,"to be found (v.i.), to be discovered",JLPT JLPT_N4
召し上がる,めしあがる,-- honorific form of 食べる (たべる) and 飲む (のむ) --,Genki Genki_Ln.19 Intermediate_Japanese_Ln.6 JLPT JLPT_N4
太る,ふとる,to gain weight,Genki Genki_Ln.7 JLPT JLPT_N4
注射,ちゅうしゃ,injection,JLPT JLPT_N4
様,よう,"way, manner, kind",JLPT JLPT_N4
～おき,～おき,after every ~,JLPT JLPT_N4
最初,さいしょ,"beginning, first",JLPT JLPT_N4
御～,ご～,honorable ~,JLPT JLPT_N4
安心,あんしん,"peace of mind, relief",JLPT JLPT_N4
直る,なおる,to be fixed,JLPT JLPT_N4
集める,あつめる,"to collect, to gather (v.t.), to assemble",Genki Genki_Ln.16 Intermediate_Japanese_Ln.7 JLPT JLPT_N4
直す,なおす,to correct (v.t.); to fix,Genki Genki_Ln.16 JLPT JLPT_N4
続く,つづく,to be continued,JLPT JLPT_N4
先輩,せんぱい,senior members of a group,Genki Genki_Ln.22 JLPT JLPT_N4
約束,やくそく,"arrangement, appointment, promise",Genki Genki_Ln.13 JLPT JLPT_N4
世話,せわする,looking after; to look after,JLPT JLPT_N4
近所,きんじょ,neighborhood,JLPT JLPT_N4
将来,しょうらい,(in the) future; prospects,Genki Genki_Ln.11 Intermediate_Japanese_Ln.5 JLPT JLPT_N4
億,おく,hundred million,JLPT JLPT_N4
数学,すうがく,mathematics,JLPT JLPT_N4
文化,ぶんか,culture,Genki Genki_Ln.19 JLPT JLPT_N4
払う,はらう,to pay,Genki Genki_Ln.10 Intermediate_Japanese_Ln.3 JLPT JLPT_N4
習慣,しゅうかん,custom (in reference to culture),JLPT JLPT_N4
焼ける,やける,"to burn, to be roasted",JLPT JLPT_N4
君,きみ,you (informal for men),JLPT JLPT_N4
冷える,ひえる,"to grow cold, to cool down",JLPT JLPT_N4
点く,つく,"to be started, to be switched on",JLPT JLPT_N4
この間,このあいだ,"the other day, recently",Genki Genki_Ln.16 JLPT JLPT_N4
かっこう,格好,"appearance, manner, shape, form, posture",JLPT JLPT_N4
かまう,,"to mind, to care about, to be concerned about",JLPT JLPT_N4
続ける,つづける,"to continue, to keep up",Genki Genki_Ln.21 JLPT JLPT_N4
落す,おとす,"to drop, to lose",JLPT JLPT_N4
明日,あす,tomorrow,JLPT JLPT_N4
出発,しゅっぱつする,departure,JLPT JLPT_N4
拝見,はいけんする,"(humble) (polite) seeing, look at",JLPT JLPT_N4
割れる,われる,to break,JLPT JLPT_N4
背中,せなか,back (of body),JLPT JLPT_N4
新聞社,しんぶんしゃ,newspaper company,JLPT JLPT_N4
いじめる,いじめる,"to bully, to torment",Genki Genki_Ln.21 JLPT JLPT_N4
回る、回す,まわる、まわす,"to go around, to revolve",JLPT JLPT_N4
～君,～くん,"Mr. (junior) ~, master ~",JLPT JLPT_N4
おっしゃる,おっしゃる,-- honorific expression for いう --,Genki Genki_Ln.19 JLPT JLPT_N4
眠い,ねむい,"sleepy, drowsy",Genki Genki_Ln.10 JLPT JLPT_N4
濡れる,ぬれる,to get wet,JLPT JLPT_N4
倒れる,たおれる,"to collapse, to break down",JLPT JLPT_N4
スーパー (マーケット),スーパー (マーケット),supermarket,JLPT JLPT_N4
アクセサリー,アクセサリー,accessory,JLPT JLPT_N4
考える,かんがえる,to think (about); to consider,Genki Genki_Ln.18 JLPT JLPT_N4
向かう,むかう,"to face, to go towards",JLPT JLPT_N4
自由,じゆう,freedom,Genki Genki_Ln.22 JLPT JLPT_N4
仕方,しかた,way (of doing something),JLPT JLPT_N4
首,くび,neck,JLPT JLPT_N4
程,ほど,"degree, extent",JLPT JLPT_N4
代わり,かわり,"substitute, replacement",JLPT JLPT_N4
失敗,しっぱい,"failure, mistake",JLPT JLPT_N4
工業,こうぎょう,(manufacturing) industry,JLPT JLPT_N4
移る,うつる,to move (from a house); to transfer (from a department); to shift,JLPT JLPT_N4
スーツケース,スーツケース,suitcase,JLPT JLPT_N4
ひげ,ひげ,beard,Genki Genki_Ln.17 JLPT JLPT_N4
研究室,けんきゅうしつ,the professor's office; laboratory,Intermediate_Japanese_Ln.3 JLPT JLPT_N4
工場,こうじょう,factory,Genki Genki_Ln.21 Intermediate_Japanese_Ln.15 JLPT JLPT_N4
紹介,しょうかい,an introduction,JLPT JLPT_N4
けれど; けれども,けれど; けれども,"but, although",JLPT JLPT_N4
舟,ふね,"ship, boat",JLPT JLPT_N4
動く,うごく,to move,JLPT JLPT_N4
～(に) ついて,～(に) ついて,"about, concerning",JLPT JLPT_N4
コンサート,コンサート,concert,Genki Genki_Ln.9 JLPT JLPT_N4
虫,むし,insect,JLPT JLPT_N4
優しい,やさしい,"kind (person), gentle (person), easy (problem)",Genki Genki_Ln.5 JLPT JLPT_N4
コンピュータ; コンピューター,コンピュータ; コンピューター,computer,JLPT JLPT_N4
植える,うえる,to plant,JLPT JLPT_N4
両方,りょうほう,"both sides, both parties",JLPT JLPT_N4
汚れる,よごれる,to become dirty,JLPT JLPT_N4
水泳,すいえい,swimming,JLPT JLPT_N4
経験,けいけんする,experience,JLPT JLPT_N4
勝つ,かつ,to win,JLPT JLPT_N4
砂,すな,sand,JLPT JLPT_N4
警察,けいさつ,police; police station,Genki Genki_Ln.21 JLPT JLPT_N4
取り替える,とりかえる,"to exchange, to replace",JLPT JLPT_N4
急ぐ,いそぐ,"to hurry, to be in a hurry, to rush",Genki Genki_Ln.6 Intermediate_Japanese_Ln.2 JLPT JLPT_N4
簡単,かんたん,simple,JLPT JLPT_N4
参る,まいる,humble expression for 行く and 来る,Genki Genki_Ln.20 Intermediate_Japanese_Ln.6 JLPT JLPT_N4
全然,ぜんぜん,"not at all; wholly, entirely",JLPT JLPT_N4
特別,とくべつ,special,JLPT JLPT_N4
復習,ふくしゅう,"review (of lessons), revision",JLPT JLPT_N4
間に合う,まにあう,to be in time for,JLPT JLPT_N4
役に立つ,やくにたつ,"to be helpful, to be useful",Intermediate_Japanese_Ln.4 JLPT JLPT_N4
もうすぐ,もうすぐ,very soon; in a few moments; days,Genki Genki_Ln.12 JLPT JLPT_N4
真中,まんなか,"middle, center",JLPT JLPT_N4
